t	reg 1	reg 2	reg 3	reg 4	
0	2	3	4	2	
0.1	3.3	4.3	5.2	4.5	
0.2	5.34	6.47	7.18	7.89	
0.3	8.467	9.905	10.373	12.798	
0.4	13.245	15.2421	15.4242	20.1417	
0.5	20.5579	23.4801	23.3173	31.3009	
0.6	31.7738	36.1673	35.5635	48.3774	
0.7	49.0013	55.6935	54.4892	74.591	
0.8	75.4865	85.7404	83.6769	114.887	
0.9	116.225	131.976	128.643	176.87	
1	178.902	203.126	197.878	272.236	
1.1	275.348	312.617	304.455	418.984	
1.2	423.762	481.113	468.489	644.812	
1.3	652.158	740.414	720.943	992.34	
1.4	1003.64	1139.46	1109.46	1527.16	
1.5	1544.55	1753.57	1707.38	2350.21	
1.6	2376.97	2698.64	2627.55	3616.84	
1.7	3658.01	4153.05	4043.63	5566.1	
1.8	5629.46	6391.29	6222.89	8565.9	
1.9	8663.4	9835.81	9576.66	13182.4	
2	13332.5	15136.7	14737.9	20286.9	
2.1	20517.8	23294.5	22680.7	31220.4	
2.2	31575.7	35848.8	34904.3	48046.2	
2.3	48593.1	55169.2	53715.6	73940.3	
2.4	74781.9	84902.1	82665.1	113790	
2.5	115085	130659	127217	175115	
2.6	177109	201077	195779	269492	
2.7	272560	309445	301291	414732	
2.8	419453	476217	463669	638248	
2.9	645513	732869	713559	982225	
3	993405	1.12784e+006	1.09812e+006	1.51158e+006	
3.1	1.52879e+006	1.73568e+006	1.68995e+006	2.32624e+006	
3.2	2.35272e+006	2.67111e+006	2.60073e+006	3.57994e+006	
3.3	3.62069e+006	4.11067e+006	4.00236e+006	5.50931e+006	
3.4	5.57202e+006	6.32608e+006	6.1594e+006	8.4785e+006	
3.5	8.57501e+006	9.73545e+006	9.47894e+006	1.30479e+007	
3.6	1.31964e+007	1.49823e+007	1.45875e+007	2.00799e+007	
3.7	2.03085e+007	2.30568e+007	2.24493e+007	3.09018e+007	
3.8	3.12536e+007	3.54831e+007	3.45481e+007	4.7556e+007	
3.9	4.80973e+007	5.46063e+007	5.31675e+007	7.31858e+007	
4	7.40189e+007	8.40358e+007	8.18216e+007	1.12629e+008	
